Super Population,Population,LWK,ESN,YRI,MSL,GWD,ACB,ASW,CLM,MXL,PUR,PEL,TSI,IBS,GBR,CEU,FIN,PJL,GIH,ITU,STU,BEB,CDX,KHV,CHS,CHB,JPT
AFR,LWK,5,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFR,ESN,7,5,6,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFR,YRI,7,6,5,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFR,MSL,7,7,7,5,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFR,GWD,7,7,7,7,5,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFR,ACB,7,7,7,7,7,5,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFR,ASW,7,7,7,7,7,6,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AMR,CLM,9,9,9,9,9,9,9,5,6,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
AMR,MXL,9,9,9,9,9,9,9,6,5,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
AMR,PUR,9,9,9,9,9,9,9,7,7,5,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
AMR,PEL,9,9,9,9,9,9,9,7,7,7,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
EUR,TSI,9,9,9,9,9,9,9,8,8,8,9,5,6,7,7,7,9,9,9,9,9,9,9,9,9,9
EUR,IBS,9,9,9,9,9,9,9,8,8,8,9,6,5,7,7,7,9,9,9,9,9,9,9,9,9,9
EUR,GBR,9,9,9,9,9,9,9,9,9,9,9,7,7,5,6,7,9,9,9,9,9,9,9,9,9,9
EUR,CEU,9,9,9,9,9,9,9,9,9,9,9,7,7,6,5,7,9,9,9,9,9,9,9,9,9,9
EUR,FIN,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,5,9,9,9,9,9,9,9,9,9,9
SAS,PJL,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,7,7,7,9,9,9,9,9
SAS,GIH,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,5,7,7,7,9,9,9,9,9
SAS,ITU,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,5,6,7,9,9,9,9,9
SAS,STU,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,6,5,7,9,9,9,9,9
SAS,BEB,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,5,9,9,9,9,9
EAS,CDX,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,7,7,7
EAS,KHV,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,5,7,7,7
EAS,CHS,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,5,6,7
EAS,CHB,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,6,5,7
EAS,JPT,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,5
